uf,quantidade,percentual
SP,726835,20.494789419693788
MG,323609,9.124902225838996
RJ,246097,6.939272588439442
BA,230087,6.48783370807554
PR,197932,5.581149310942416
PA,173852,4.902158165460667
RS,169142,4.76934885087516
PE,160543,4.5268802105098125
CE,153610,4.33138828311675
SC,136490,3.8486503923091284
MA,131963,3.7210011848508278
GO,110117,3.105002822550401
AM,96686,2.726284796181408
MT,80719,2.2760584000058652
PB,70732,1.994451897932517
ES,69108,1.9486594718418875
DF,65072,1.834855141976259
AL,64483,1.818246928326394
PI,61610,1.7372360661599047
MS,56303,1.587592959470883
RN,55578,1.567149912108995
SE,41598,1.1729515643583788
RO,33757,0.9518564824762198
TO,31186,0.8793612069349585
AC,20734,0.584642957243296
AP,20502,0.5781011820874917
RR,18093,0.5101738702326108
